사고유형대분류,사고유형중분류,구분,시간대,값
차대사람,보도통행중,사고[건],10~12시,213
차대사람,보도통행중,사고[건],12~14시,231
차대사람,보도통행중,사고[건],14~16시,242
차대사람,보도통행중,사고[건],16~18시,280
차대사람,보도통행중,사고[건],18~20시,314
차대사람,보도통행중,사고[건],20~22시,285
차대사람,보도통행중,사고[건],22~24시,188
차대사람,보도통행중,사망[명],00~02시,0
차대사람,보도통행중,사망[명],02~04시,1
차대사람,보도통행중,사망[명],04~06시,6
차대사람,보도통행중,사망[명],06~08시,2
차대사람,보도통행중,사망[명],08~10시,4
차대사람,보도통행중,사망[명],10~12시,1
차대사람,보도통행중,사망[명],12~14시,6
차대사람,보도통행중,사망[명],14~16시,3
차대사람,보도통행중,사망[명],16~18시,5
차대사람,보도통행중,사망[명],18~20시,11
차대사람,보도통행중,사망[명],20~22시,5
차대사람,보도통행중,사망[명],22~24시,1
차대사람,보도통행중,부상[명],00~02시,87
차대사람,보도통행중,부상[명],02~04시,45
차대사람,보도통행중,부상[명],04~06시,42
차대사람,보도통행중,부상[명],06~08시,98
차대사람,보도통행중,부상[명],08~10시,185
차대사람,보도통행중,부상[명],10~12시,224
차대사람,보도통행중,부상[명],12~14시,236
차대사람,보도통행중,부상[명],14~16시,261
차대사람,보도통행중,부상[명],16~18시,307
차대사람,보도통행중,부상[명],18~20시,343
차대사람,보도통행중,부상[명],20~22시,323
차대사람,보도통행중,부상[명],22~24시,214
차대사람,기타,사고[건],00~02시,1403
차대사람,기타,사고[건],02~04시,805
차대사람,기타,사고[건],04~06시,658
차대사람,기타,사고[건],06~08시,1130
차대사람,기타,사고[건],08~10시,2069
차대사람,기타,사고[건],10~12시,1955
차대사람,기타,사고[건],12~14시,2222
차대사람,기타,사고[건],14~16시,2589
차대사람,기타,사고[건],16~18시,3060
차대사람,기타,사고[건],18~20시,3551
차대사람,기타,사고[건],20~22시,2823
차대사람,기타,사고[건],22~24시,2387
차대사람,기타,사망[명],00~02시,45
차대사람,기타,사망[명],02~04시,51
차대사람,기타,사망[명],04~06시,49
차대사람,기타,사망[명],06~08시,60
차대사람,기타,사망[명],08~10시,49
차대사람,기타,사망[명],10~12시,50
차대사람,기타,사망[명],12~14시,43
차대사람,기타,사망[명],14~16시,46
차대사람,기타,사망[명],16~18시,51
차대사람,기타,사망[명],18~20시,107
차대사람,기타,사망[명],20~22시,73
차대사람,기타,사망[명],22~24시,65
차대사람,기타,부상[명],00~02시,1482
차대사람,기타,부상[명],02~04시,820
차대사람,기타,부상[명],04~06시,656
차대사람,기타,부상[명],06~08시,1124
차대사람,기타,부상[명],08~10시,2094
차대사람,기타,부상[명],10~12시,1984
차대사람,기타,부상[명],12~14시,2273
차대사람,기타,부상[명],14~16시,2684
차대사람,기타,부상[명],16~18시,3175
차대사람,기타,부상[명],18~20시,3660
차대사람,기타,부상[명],20~22시,2926
차대사람,기타,부상[명],22~24시,2498
차대차,충돌,사고[건],00~02시,3331
차대차,충돌,사고[건],02~04시,2036
차대차,충돌,사고[건],04~06시,2010
차대차,충돌,사고[건],06~08시,4224
차대차,충돌,사고[건],08~10시,6331
차대차,충돌,사고[건],10~12시,5756
차대차,충돌,사고[건],12~14시,5950
차대차,충돌,사고[건],14~16시,6502
차대차,충돌,사고[건],16~18시,7220
차대차,충돌,사고[건],18~20시,7766
차대차,충돌,사고[건],20~22시,6294
차대차,충돌,사고[건],22~24시,5355
차대차,충돌,사망[명],00~02시,39
차대차,충돌,사망[명],02~04시,28
차대차,충돌,사망[명],04~06시,32
차대차,충돌,사망[명],06~08시,93
차대차,충돌,사망[명],08~10시,69
차대차,충돌,사망[명],10~12시,89
차대차,충돌,사망[명],12~14시,73
차대차,충돌,사망[명],14~16시,71
차대차,충돌,사망[명],16~18시,110
차대차,충돌,사망[명],18~20시,95
차대차,충돌,사망[명],20~22시,61
차대차,충돌,사망[명],22~24시,54
차대차,충돌,부상[명],00~02시,6072
차대차,충돌,부상[명],02~04시,3750
차대차,충돌,부상[명],04~06시,3384
차대차,충돌,부상[명],06~08시,6915
차대차,충돌,부상[명],08~10시,10052
차대차,충돌,부상[명],10~12시,9188
차대차,충돌,부상[명],12~14시,9880
차대차,충돌,부상[명],14~16시,10816
차대차,충돌,부상[명],16~18시,11733
차대차,충돌,부상[명],18~20시,12431
차대차,충돌,부상[명],20~22시,10147
차대차,충돌,부상[명],22~24시,9019
차대차,추돌,사고[건],00~02시,2986
차대차,추돌,사고[건],02~04시,1767
차대차,추돌,사고[건],04~06시,1440
차대차,추돌,사고[건],06~08시,2468
차대차,추돌,사고[건],08~10시,3954
차대차,추돌,사고[건],10~12시,3588
차대차,추돌,사고[건],12~14시,3566
차대차,추돌,사고[건],14~16시,4227
차대차,추돌,사고[건],16~18시,4438
차대차,추돌,사고[건],18~20시,5500
차대차,추돌,사고[건],20~22시,4679
차대차,추돌,사고[건],22~24시,4415
차대차,추돌,사망[명],00~02시,37
차대차,추돌,사망[명],02~04시,37
차대차,추돌,사망[명],04~06시,38
차대차,추돌,사망[명],06~08시,44
차대차,추돌,사망[명],08~10시,33
차대차,추돌,사망[명],10~12시,27
차대차,추돌,사망[명],12~14시,42
차대차,추돌,사망[명],14~16시,52
차대차,추돌,사망[명],16~18시,34
차대차,추돌,사망[명],18~20시,61
차대차,추돌,사망[명],20~22시,47
차대차,추돌,사망[명],22~24시,52
차대차,추돌,부상[명],00~02시,5618
차대차,추돌,부상[명],02~04시,3160
차대차,추돌,부상[명],04~06시,2569
차대차,추돌,부상[명],06~08시,4477
차대차,추돌,부상[명],08~10시,7126
차대차,추돌,부상[명],10~12시,6865
차대차,추돌,부상[명],12~14시,6881
차대차,추돌,부상[명],14~16시,8199
차대차,추돌,부상[명],16~18시,8707
차대차,추돌,부상[명],18~20시,10388
차대차,추돌,부상[명],20~22시,8992
차대차,추돌,부상[명],22~24시,8428
차대차,기타,사고[건],00~02시,2856
차대차,기타,사고[건],02~04시,1592
차대차,기타,사고[건],04~06시,1429
차대차,기타,사고[건],06~08시,3457
차대차,기타,사고[건],08~10시,5621
차대차,기타,사고[건],10~12시,5074
차대차,기타,사고[건],12~14시,5482
차대차,기타,사고[건],14~16시,6089
